Symbol,Date,Open,High,Low,Close,Volume
N1DD.IDX,22-May-2020,-1,-1,-1,-1,2900
N1DE.IDX,22-May-2020,0.01,0.01,0.01,0.01,6400
N1DF.IDX,22-May-2020,1,1,1,1,2000
N1DG.IDX,22-May-2020,0.01,0.01,0.01,0.01,1500
N1DH.IDX,22-May-2020,8,8,8,8,22700
N1DI.IDX,22-May-2020,-2,-2,-2,-2,6000
N1DJ.IDX,22-May-2020,32,32,32,32,20300
N1DK.IDX,22-May-2020,52,52,52,52,60900
N1DL.IDX,22-May-2020,58,58,58,58,30900
N1DM.IDX,22-May-2020,42,42,42,42,13500
N1DN.IDX,22-May-2020,152,152,152,152,105300
N1DO.IDX,22-May-2020,98,98,98,98,97900
N1DP.IDX,22-May-2020,68,68,68,68,46100
N1DU.IDX,22-May-2020,58,58,58,58,174200
N1HA.IDX,22-May-2020,46,46,46,46,59600
N1HB.IDX,22-May-2020,36,36,36,36,39400
N1HC.IDX,22-May-2020,12,12,12,12,10300
N1HD.IDX,22-May-2020,1,1,1,1,2900
N1HE.IDX,22-May-2020,2,2,2,2,6400
N1HF.IDX,22-May-2020,1,1,1,1,2000
N1HG.IDX,22-May-2020,0.01,0.01,0.01,0.01,1500
N1HH.IDX,22-May-2020,17,17,17,17,22700
N1HI.IDX,22-May-2020,4,4,4,4,6000
N1HJ.IDX,22-May-2020,39,39,39,39,20300
N1HK.IDX,22-May-2020,78,78,78,78,60900
N1HL.IDX,22-May-2020,70,70,70,70,30900
N1HM.IDX,22-May-2020,45,45,45,45,13500
N1HN.IDX,22-May-2020,193,193,193,193,105300
N1HO.IDX,22-May-2020,115,115,115,115,97900
N1HP.IDX,22-May-2020,76,76,76,76,46100
N1HU.IDX,22-May-2020,226,226,226,226,174200
N1LA.IDX,22-May-2020,1,1,1,1,59600
N1LB.IDX,22-May-2020,1,1,1,1,39400
N1LC.IDX,22-May-2020,2,2,2,2,10300
N1LD.IDX,22-May-2020,2,2,2,2,2900
N1LE.IDX,22-May-2020,2,2,2,2,6400
N1LF.IDX,22-May-2020,0.01,0.01,0.01,0.01,2000
N1LG.IDX,22-May-2020,0.01,0.01,0.01,0.01,1500
N1LH.IDX,22-May-2020,9,9,9,9,22700
N1LI.IDX,22-May-2020,6,6,6,6,6000
