Symbol,Date,Open,High,Low,Close,Volume
SGA,22-May-2020,24.6712,25.62,24.635,25.62,3100
SGBX,22-May-2020,2.66,2.98,2.46,2.76,5384000
SGC,22-May-2020,9.44,9.55,9.155,9.55,34000
SGEN,22-May-2020,156.38,158,153.93,155.77,1102500
SGH,22-May-2020,26.12,26.12,25.53,25.71,64000
SGLB,22-May-2020,2.47,2.84,2.41,2.72,1359900
SGMA,22-May-2020,3.2,3.5026,2.86,3.26,8500
SGMO,22-May-2020,11.1,11.54,10.8868,11.51,1605400
SGMS,22-May-2020,14.48,14.6035,14.01,14.305,1195300
SGOC,22-May-2020,1.05,1.05,0.94,0.9401,2700
SGRP,22-May-2020,0.7,0.7101,0.6726,0.7,10300
SGRY,22-May-2020,14.07,14.095,13.42,14.04,396000
SHBI,22-May-2020,8.67,8.7152,8.31,8.44,33000
SHEN,22-May-2020,49.3,52.11,49.01,52.08,120800
SHIP,22-May-2020,0.1399,0.1448,0.1384,0.1408,35105600
SHIPW,22-May-2020,0.01,0.011,0.008,0.0104,41700
SHIPZ,22-May-2020,0.02,0.024,0.0185,0.019,26900
SHLO,22-May-2020,1.11,1.1201,1.05,1.09,221900
SHOO,22-May-2020,22.83,23.3555,21.8,22.22,446900
SHSP,22-May-2020,9.6,9.88,9.4,9.83,28100
SHV,22-May-2020,110.82,110.82,110.8,110.82,3984200
SHY,22-May-2020,86.66,86.67,86.64,86.64,2592400
SIBN,22-May-2020,17.12,17.28,16.87,17.16,71600
SIC,22-May-2020,2.72,2.725,2.56,2.61,158800
SIEB,22-May-2020,6.5,7.05,6.4681,7.05,18100
SIEN,22-May-2020,3.7,3.88,3.55,3.725,1623000
SIFY,22-May-2020,0.9,0.9,0.89,0.89,42100
SIGA,22-May-2020,6.01,6.04,5.9,6,176600
SIGI,22-May-2020,52.4,52.72,51.41,52.39,327600
SILC,22-May-2020,32.19,33.98,31.87,33.3,14700
SILK,22-May-2020,38.42,39.335,37.89,39.09,209200
SIMO,22-May-2020,48.5,48.51,45.28,45.56,974400
SINA,22-May-2020,32.51,32.56,29.96,30.035,1210800
SINO,22-May-2020,0.3989,0.3989,0.375,0.38,34400
SINT,22-May-2020,0.6876,0.7,0.662,0.68,322100
SIRI,22-May-2020,5.21,5.345,5.1725,5.305,39030000
SITM,22-May-2020,32.89,35.29,32.41,33.4,133000
SIVB,22-May-2020,189.98,191.625,185.89,189.49,269400
SIVBP,22-May-2020,23.62,23.79,23.5701,23.6193,11200
SJ,22-May-2020,5.99,6.49,5.99,6.24,25600
SJOYW,22-May-2020,0.16,0.2,0.16,0.19,470000
SKOR,22-May-2020,53.37,53.38,53.31,53.367,2800
SKYS,22-May-2020,3.3,3.35,3.1,3.31,57100
SKYW,22-May-2020,28.67,28.89,27.37,28.18,364800
SKYY,22-May-2020,67.97,68.7,67.6,68.7,550000
SLAB,22-May-2020,94.48,94.48,93.13,94.29,208400
SLCT,22-May-2020,7.32,7.32,7.16,7.3,12900
SLDB,22-May-2020,3.16,3.55,3.02,3.09,732500
SLGG,22-May-2020,2.86,2.9,2.65,2.71,263600
SLGL,22-May-2020,8.395,8.4,8,8.125,2900
SLGN,22-May-2020,32.31,32.515,31.86,32.38,542700
SLM,22-May-2020,7.44,7.525,7.255,7.31,2352800
SLMBP,22-May-2020,36.8,36.8,36.8,36.8,100
SLNO,22-May-2020,4.27,4.36,3.88,4,250900
SLP,22-May-2020,39.83,39.86,38.22,39.12,129100
SLQD,22-May-2020,51.66,51.68,51.63,51.63,154200
SLRC,22-May-2020,16.38,16.68,16.15,16.61,92000
SLRX,22-May-2020,1.21,1.22,1.16,1.18,529000
SLS,22-May-2020,3.5,3.75,3.46,3.66,252100
SLVO,22-May-2020,6.28,6.2899,6.2101,6.23,25800
SMBC,22-May-2020,22.04,22.57,21.45,22.27,18100
SMBK,22-May-2020,15.02,15.32,14.3,15.08,19500
SMCI,22-May-2020,25.09,25.09,24.13,24.7,298200
SMED,22-May-2020,6.79,6.83,6.55,6.64,61200
SMH,22-May-2020,137.77,138.15,136.09,137.99,2484400
SMIT,22-May-2020,2.84,2.84,2.7788,2.78,3400
SMMCU,22-May-2020,10.2,10.2,10.11,10.11,3700
SMMF,22-May-2020,16.03,16.23,15.63,15.88,7400
SMMT,22-May-2020,4.2,4.4,4,4.13,362100
SMPL,22-May-2020,16.66,16.66,16.13,16.4,1127100
SMRT,22-May-2020,0.295,0.307,0.286,0.305,900200
SMSI,22-May-2020,4.27,4.32,4.145,4.2,281100
SMTC,22-May-2020,46.98,47.22,46.305,47.12,222700
SMTX,22-May-2020,3.24,3.24,3.15,3.22,20200
SNBR,22-May-2020,32,32.47,31.07,32.36,204300
SNCA,22-May-2020,1.126,1.2,0.8895,0.9198,13132300
SNCR,22-May-2020,2.45,2.45,2.31,2.4,276500
SND,22-May-2020,0.89,0.9,0.84,0.87,117200
SNDE,22-May-2020,2.86,3.04,2.65,2.8,173000
SNDL,22-May-2020,0.6537,1.28,0.65,0.8451,50212600
SNDX,22-May-2020,17,17.5,15.25,16,7122400
SNES,22-May-2020,1.51,1.59,1.5,1.565,160200
SNFCA,22-May-2020,5.8,6.2,5.8,6.2,6200
SNGX,22-May-2020,1.88,2.1899,1.84,2.1,2839000
SNGXW,22-May-2020,0.35,0.42,0.3,0.3999,13800
SNLN,22-May-2020,15.65,15.8,15.64,15.715,3800
SNOA,22-May-2020,5.55,5.55,5.22,5.2756,4900
SNPS,22-May-2020,169.68,171.47,167.06,171.11,1009000
SNSR,22-May-2020,22.08,22.25,21.87,22.25,46300
SNSS,22-May-2020,0.4289,0.433,0.4101,0.4299,955300
SNUG,22-May-2020,24.52,24.63,24.52,24.5924,2500
SNY,22-May-2020,47.36,47.72,47.16,47.3,1486700
SOCL,22-May-2020,37.76,37.76,37.27,37.72,48700
SOHO,22-May-2020,1.94,1.94,1.79,1.85,199700
SOHOB,22-May-2020,5.4,5.495,5.1501,5.22,19700
SOHON,22-May-2020,5.6,5.6,5.05,5.4197,6100
SOHOO,22-May-2020,5.46,5.7615,4.95,5.13,43700
SOHU,22-May-2020,7.59,7.6256,6.98,7,653800
SOLO,22-May-2020,1.08,1.08,0.99,1.04,684500
SOLOW,22-May-2020,0.28,0.37,0.28,0.3,1600
SOLY,22-May-2020,9.12,9.48,9.03,9.27,128700
SONA,22-May-2020,9.96,10.22,9.48,9.49,119200
SONM,22-May-2020,0.99,1.06,0.97,1.02,1841500
SONN,22-May-2020,4.31,4.31,4.15,4.25,317900
SONO,22-May-2020,11.06,11.49,10.7,11.15,2666900
SOXX,22-May-2020,243.83,245.08,240.81,244.67,820800
SP,22-May-2020,19.21,19.4,18.69,19.27,126200
SPAR,22-May-2020,15.9,16.21,15.52,16.19,183000
SPCB,22-May-2020,1.13,1.15,1.1,1.12,403800
SPFI,22-May-2020,12.83,13.25,12.66,12.77,12100
SPI,22-May-2020,0.99,1.0872,0.95,0.9787,781900
SPKE,22-May-2020,7.26,8.89,7.14,8.45,504700
SPKEP,22-May-2020,20.4359,21.4925,20.4359,21.25,5500
SPLK,22-May-2020,171.83,185.26,170,184.26,8835800
SPNE,22-May-2020,11.24,11.241,10.58,10.75,81700
SPNS,22-May-2020,24.37,24.85,23.8972,24.83,87500
SPOK,22-May-2020,10.51,10.51,9.97,10.26,44000
SPPI,22-May-2020,3.11,3.12,3,3.09,744000
SPRO,22-May-2020,12.17,12.76,12.0524,12.5,221900
SPRT,22-May-2020,1.31,1.37,1.26,1.37,101000
SPSC,22-May-2020,62.81,64.835,62.81,64.34,222700
SPT,22-May-2020,27.67,28.015,26,26.31,267400
SPTN,22-May-2020,18,18.24,17.65,18.22,429200
SPWH,22-May-2020,9.9,9.965,9.67,9.85,531600
SPWR,22-May-2020,6.89,6.94,6.7,6.715,1942900
SQBG,22-May-2020,0.19,0.19,0.175,0.1777,941200
SQQQ,22-May-2020,10.04,10.16,9.84,9.87,43736900
SRAX,22-May-2020,1.66,1.82,1.65,1.78,162300
SRCE,22-May-2020,31.91,32.08,30.99,31.54,44100
SRCL,22-May-2020,51.26,51.8811,49.85,51.09,486400
SRDX,22-May-2020,35.98,37.26,35.7,37.14,51600
SRET,22-May-2020,7.02,7.03,6.8645,7.02,201100
SREV,22-May-2020,1.68,1.78,1.62,1.66,422800
SRNE,22-May-2020,5.08,5.35,4.67,5.07,48302700
SRPT,22-May-2020,145.15,152.5,144.03,150.6,799300
SRRA,22-May-2020,13.09,13.84,13.09,13.5,32500
